name,latitude,longitude,designation,states,description,activities,amenities
Emmett Till and Mamie Till-Mobley National Monument,33.9711,-90.3698,National Monument,"IL,MS","In 1955, 14-year-old Emmett Till traveled to Money, Mississippi, to visit relatives. He was kidnapped, tortured, and murdered after reportedly whistling at a white woman. His mother, Mamie Till-Mobley, insisted on an open-casket funeral near their hometown of Chicago. Her brave decision let the world see the racist violence inflicted upon her son and set the Civil Rights Movement into motion.","Arts and Culture, Museum Exhibits",
Eugene O'Neill National Historic Site,37.82604456,-122.0271566,National Historic Site,CA,"America's only Nobel Prize-winning playwright, Eugene O'Neill, chose Northern California as his sanctuary at the pinnacle of his writing career. Secluded from the outside world within the serene walls of his Tao House, O'Neill crafted his final and most memorable masterpieces: The Iceman Cometh, Long Day's Journey Into Night, and A Moon for the Misbegotten.","Arts and Culture, Theater, Guided Tours, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Gifts/Souvenirs/Books
Everglades National Park,25.37294225,-80.88200301,National Park,FL,"Established in 1947 as the first national park created for its biodiversity, Everglades National Park protects 1.5 million acres of wetland, forest, and marine habitats and the native plants and animals that call it home. With several international designations, the park provides a major source of drinking water for local residents of South Florida and recreational opportunities for all.","Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Motorized Boating, Sailing, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Compass and GPS, Geocaching, Fishing, Freshwater Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Rooms
Federal Hall National Memorial,40.70731192,-74.01025636,National Memorial,NY,"Here on Federal Hall, George Washington took the oath of office as our first President, and this site was home to the first Congress, Supreme Court, and Executive Branch offices. The current structure, a Customs House, later served as part of the US Sub-Treasury. Now, the building serves as a museum and memorial to our first President and the beginnings of the United States of America.","Arts and Culture, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Museum Exhibits, Shopping",Baby Changing Station
Fire Island National Seashore,40.69668638,-73.00013462,National Seashore,NY,"Immerse yourself in an enchanting collage of coastal life and history. Rhythmic waves, high dunes, ancient maritime forests, historic landmarks and glimpses of wildlife, Fire Island has been a special place for diverse plants, animals and people for centuries. Far from the pressure of nearby big-city life, dynamic barrier island beaches offer solitude, camaraderie, and spiritual renewal.","Arts and Culture, Astronomy, Stargazing, Boating, Camping, Backcountry Camping, Fishing, Food, Guided Tours, Hunting and Gathering, Gathering and Foraging, Hunting, Junior Ranger Program, Swimming, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store",Accessible Rooms
First Ladies National Historic Site,40.79689857,-81.37579869,National Historic Site,OH,"First Ladies National Historic Site consists of two properties in downtown Canton, Ohio - the home of First Lady Ida Saxton-McKinley and our Visitor Center. Come learn about how the position of First Lady has evolved over time to include a public role.","Guided Tours, Living History, First Person Interpretation, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",
First State National Historical Park,39.83076929,-75.56353942,National Historical Park,"DE,PA","Famous as the First State to ratify the Constitution, Delaware was born out of a conflict among three world powers for dominance of the Delaware Valley. From this beginning, the region developed a distinct character that tolerated diversity in religion and national origin and valued independence.","Biking, Mountain Biking, Fishing, Freshwater Fishing, Fly Fishing, Food, Picnicking, Hands-On, Citizen Science, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Living History, Junior Ranger Program",Accessible Rooms
Flight 93 National Memorial,40.06061476,-78.89456905,National Memorial,PA,"On Tuesday morning, September 11, 2001, the U.S. came under attack when four commercial airliners were hijacked and used to strike targets on the ground. Nearly 3,000 people tragically lost their lives. Because of the actions of the 40 passengers and crew aboard one of the planes, Flight 93, the attack on the U.S. Capitol was thwarted.","Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program",Accessible Rooms
Florissant Fossil Beds National Monument,38.91260586,-105.2803396,National Monument,CO,"Beneath a grassy mountain valley in central Colorado lies one of the richest and most diverse fossil deposits in the world. Petrified redwood stumps up to 14 feet wide and thousands of detailed fossils of insects and plants reveal the story of a very different, prehistoric Colorado.","Astronomy, Stargazing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Snowshoeing, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Sites
Ford's Theatre National Historic Site,38.89668819,-77.02577944,National Historic Site,DC,"April 14, 1865. President Lincoln is assassinated at Ford’s Theatre. Discover how a nation handled grief and loss, how everyday people experienced a national tragedy, and how we have remembered a fallen leader. Today, in partnership with Ford’s Theatre Society, live dramatic productions highlight Lincoln’s love of the theatre, and the power of stories to connect us to ourselves and our history.","Arts and Culture, Theater, Guided Tours, Junior Ranger Program",Food/Drink - Bar/Alcohol For Sale
Fort Bowie National Historic Site,32.14925942,-109.451132,National Historic Site,AZ,"For nearly 25 years, Fort Bowie stood at the crossroads of the Chiricahua Apache's fight to defend their ancestral homeland and the U.S. Army's westward expansion. Today, visitors embark on a 3-mile scenic loop trail traversing the ground where this profound cultural collision forever altered the course of both American and Indigenous history.","Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store",
Fort Davis National Historic Site,30.59930381,-103.8961904,National Historic Site,TX,"Fort Davis is one of the best surviving examples of an Indian Wars' frontier military post in the Southwest. From 1854 to 1891, Fort Davis was strategically located to protect emigrants, mail coaches, and freight wagons on the Trans-Pecos portion of the San Antonio-El Paso Road and on the Chihuahua Trail.","Arts and Culture, Craft Demonstrations, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",
Fort Donelson National Battlefield,36.49019078,-87.92445695,National Battlefield,"KY,TN","Brigadier General Ulysses S. Grant was becoming quite famous as he wrote these words following the surrender of Confederate Fort Donelson on Sunday, February 16, 1862. The Union victory at Fort Donelson elated the North, and stunned the South. Within days of the surrender, Clarksville and Nashville would fall into Union hands. Grant and his troops had created a pathway to victory for the Union.","Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Auto, Hiking, Junior Ranger Program, Park Film, Museum Exhibits",Accessible Rooms
Fort Dupont Park,38.87731289,-76.94955824,,DC,"This 361 acre wooded park was once home to an earthen fort built to protect Washington, DC, during the Civil War. Today, visitors can see the fort's earthworks and escape to the great outdoors. Activities include picnics, nature walks, biking, gardening, environmental education, music, and ranger-led programs.","Arts and Culture, Live Music, Biking, Mountain Biking, Food, Picnicking, Junior Ranger Program, Wildlife Watching",Amphitheater
Fort Foote Park,38.76901785,-77.02812387,Park,MD,"Fort Foote was constructed in 1863 atop Rozier's Bluff to strengthen the ring of fortifications that encircled Washington, D.C. Two of the Guns that protected Washington are still there along with the remains of the fort's earthworks.",Hiking,Historical/Interpretive Information/Exhibits
Fort Frederica National Monument,31.2214699,-81.39452014,National Monument,GA,"War was imminent as James Oglethorpe established Fort Frederica in 1736, to help protect the British colonies from the Spanish in Florida. Fort Frederica illustrates the story of the War of Jenkins Ear (1739-1748) and how its British defenders fought off the Spanish Army. Today, archeology has uncovered the story of the 1,000 people that once lived here.","Biking, Guided Tours, Hiking, Living History, Junior Ranger Program, Park Film, Museum Exhibits",Accessible Sites
Fort Laramie National Historic Site,42.20301694,-104.5459112,National Historic Site,WY,"Originally established as a private fur trading fort in 1834, Fort Laramie evolved into the largest and best-known military post on the Northern Plains before its abandonment in 1890. Nicknamed the “Grand Old Post,” Fort Laramie witnessed the entire sweeping saga of America’s western expansion and Indian resistance to encroachment on their territories.","Astronomy, Stargazing, Fishing, Freshwater Fishing, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Living History, Historic Weapons Demonstration, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Rooms
Fort Larned National Historic Site,38.18047491,-99.21836664,National Historic Site,KS,Discover a complete and authentic army post from the 1860s -1870s! This well-preserved fort on the Santa Fe Trail shares a tumultuous history of the Indian Wars era. The sandstone constructed buildings sheltered troops who were known as the Guardians of the Santa Fe Trail.,"Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Rooms
Fort Matanzas National Monument,29.7121489,-81.23567535,National Monument,FL,"Fort Matanzas National Monument preserves the fortified coquina watchtower, completed in 1742, which defended the southern approach to the Spanish military settlement of St. Augustine. It also protects approximately 300 acres of Florida coastal environment containing dunes, marsh, maritime forest, and associated flora and fauna, including threatened and endangered species.","Fishing, Saltwater Fishing, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program, Museum Exhibits",Accessible Sites
Fort McHenry National Monument and Historic Shrine,39.26395314,-76.58044165,National Monument and Historic Shrine,MD,"by the dawn's early light, a large red, white and blue banner? Whose broad stripes and bright stars... were so gallantly streaming...over Fort McHenry! The valiant defense of the fort during the Battle of Baltimore on September 13-14, 1814 inspired Francis Scott Key to write the words that became the U.S. national anthem. The fort's history holds many other stories too, from the Civil War to WWII.","Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Theater, Biking, Road Biking, Compass and GPS, Geocaching, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Arts and Crafts, Hiking, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Paddling, Kayaking, Junior Ranger Program, Skiing, Cross-Country Skiing, Downhill Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Rooms
Fort Monroe National Monument,37.01733343,-76.30103195,National Monument,VA,"Fort Monroe's story spans from prehistory to the 2000s. Kecoughtan Indians occupied Old Point Comfort before the arrival of English colonists. The first enslaved Africans arrived in 1619. Those escaping slavery sought their freedom at the fort during the Civil War. The fort remained bastion of national defense until 2011, when it became a national park.","Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Rooms
Fort Necessity National Battlefield,39.81306048,-79.59033344,National Battlefield,PA,"The battle at Fort Necessity in the summer of 1754 was the opening action of the French and Indian War. This war was a clash of British, French and American Indian cultures. It ended with the removal of French power from North America. The stage was set for the American Revolution.","Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Playground, Skiing, Cross-Country Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Rooms
Fort Point National Historic Site,37.80837439,-122.473747,National Historic Site,CA,"From its vantage point overlooking the spectacular Golden Gate, Fort Point defended the San Francisco Bay following California's Gold Rush through World War II. Its beautifully arched casemates display the art of 3rd system brick masonry and interacts gracefully with the Golden Gate Bridge.","Arts and Culture, Theater, Fishing, Living History, Historic Weapons Demonstration, Park Film, Museum Exhibits",Bicycle - Rack
Fort Pulaski National Monument,32.0308274,-80.93361681,National Monument,GA,"For much of the 19th century, masonry fortifications were the United States’ main defense against overseas enemies. However, during the Civil War, new technology proved its superiority over these forts. Using rifled cannons, the U.S. Army compelled the Confederate garrison inside Fort Pulaski to surrender. The siege was a landmark experiment in the history of military science and invention.","Biking, Boating, Fishing, Saltwater Fishing, Guided Tours, Self-Guided Tours - Walking, Hiking, Living History, Historic Weapons Demonstration, Paddling, Canoeing, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Rooms
Fort Raleigh National Historic Site,35.93278602,-75.71496865,National Historic Site,NC,"Amongst the shallow blue waters of the Outer Banks lies Fort Raleigh on Roanoke Island. Shaped by constant winds of change, Fort Raleigh has become a focal point of American history. From the first Algonquian-speaking people to the first English colonies, from formerly enslaved people starting anew to an inventor testing new radio technology, this island continues to be a place to forge new paths.","Arts and Culture, Theater, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Beach/Water Access
Fort Scott National Historic Site,37.84358849,-94.70429174,National Historic Site,KS,"Promises made and broken! Who deserves to be free? The fight for freedom! Soldiers fighting settlers! Each of these stories is a link in the chain of events that encircled Fort Scott from 1842-1873. All of the site's structures, its parade ground, and its tallgrass prairie bear witness to this era when the country was forged from a young republic into a united transcontinental nation.","Guided Tours, Living History, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Elevator
Fort Smith National Historic Site,35.38834746,-94.43129079,National Historic Site,"AR,OK","Explore life on the edge of frontier and Indian Territory through the stories of soldiers, the Trail of Tears, scandals, outlaws, and lawmen who pursued them. From the establishment of the first Fort Smith on December 25, 1817, to the final days of Judge Isaac C. Parker's jurisdiction over Indian Territory in 1896, Fort Smith National Historic Site preserves almost 80 years of history.","Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Sites
Fort Stanwix National Monument,43.21053441,-75.45557626,National Monument,NY,"For centuries, the Oneida Carrying Place, a six-mile portage connecting the Mohawk River and Wood Creek, served as a vital link for those traveling by water from the ocean to the Great Lakes. When Europeans arrived, nations fought for control of the carry, the homelands of the Six Nations Confederacy, and the rich resources of North America. In this struggle, Fort Stanwix would play a vital role.","Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Astronomy, Stargazing, Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Arts and Crafts, Hiking, Front-Country Hiking, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Snow Play, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Benches/Seating
Fort Sumter and Fort Moultrie National Historical Park,32.75654469,-79.87068744,National Historical Park,SC,"Two forts stand at the entrance of Charleston Harbor. Patriots inside a palmetto log fort, later named Fort Moultrie, defeated the Royal Navy in 1776. As Charleston blazed a path towards secession to preserve slavery, construction on a new fort, Fort Sumter, proceeded. The Confederacy fired on the US garrison of Fort Sumter on April 12, 1861 opening the Civil War, which redefined American freedom.","Astronomy, Stargazing, Boating, Boat Tour, Fishing, Saltwater Fishing, Food, Dining, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hands-On, Citizen Science, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Benches/Seating
Fort Union National Monument,35.90700629,-105.0145185,National Monument,NM,"Exposed to the wind, within a sweeping valley of short grass prairie, and along the eroded Santa Fe Trail, lie the adobe walled ruins of the largest 19th century military fort in the region. From 1851 to 1891, Fort Union functioned as an agent of change, desired or not, in the New Mexico Territory and throughout the Southwest.","Guided Tours, Self-Guided Tours - Walking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Shopping, Bookstore and Park Store",
Fort Union Trading Post National Historic Site,48.00075828,-104.0375238,National Historic Site,"MT,ND","Between 1828 and 1867, Fort Union was the most important fur trade post on the Upper Missouri River. Here, the Assiniboine and six other Northern Plains Tribes exchanged buffalo robes and smaller furs for goods from around the world, including cloth, guns, blankets, and beads. A bastion of peaceful coexistence, the post annually traded over 25,000 buffalo robes and $100,000 in merchandise.","Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Guided Tours, Self-Guided Tours - Walking, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Assistive Listening Systems
Fort Vancouver National Historic Site,45.62234841,-122.6617043,National Historic Site,"OR,WA","Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community.","Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Biking, Guided Tours, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program, Playground, Wildlife Watching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Sites
Fort Washington Park,38.7117,-77.0302,Park,MD,"Built to defend the river approach to Washington, DC, Fort Washington has stood as silent sentry for over 200 years. As technologies advanced so did Fort Washington, from the brick and stone of the 19th century to the concrete and steel of the 20th century. Joining the National Park Service in 1946, the park continues to protect the Potomac River.","Fishing, Food, Picnicking, Guided Tours, Living History, Historic Weapons Demonstration, Shopping, Bookstore and Park Store",Benches/Seating
Fossil Butte National Monument,41.85635223,-110.7624754,National Monument,WY,"In the ridges of southwest Wyoming are some of the best-preserved fossils in the world. They tell the story of ancient life in a warm, wet environment in and around a freshwater lake. Stingrays swam in the lake. Turtles basked in the sun. Leaves rustled in the breeze while early horses darted between the trunks. We reveal more of the past with each fossil found.","Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store",Captioned Media
Frances Perkins National Monument,44.0052,-69.5568,National Monument,ME,"Known as the first woman to hold a presidential cabinet position and the “Woman behind the New Deal,” Frances Perkins championed many labor rights that Americans enjoy today, including safety standards, Social Security, and shorter workweeks. Her impressive career and accomplishments, including as Secretary of Labor, opened the door for other women to hold high government positions.",,
Franklin Delano Roosevelt Memorial,38.88341274,-77.04311542,,DC,These words by President Franklin Delano Roosevelt ushered the United States into World War II and defined what it is to be an American. Stop by this secluded memorial and begin to understand the Roosevelt legacy.,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Rooms
Frederick Douglass National Historic Site,38.86298458,-76.98508147,National Historic Site,DC,"Frederick Douglass spent his life fighting for justice and equality. Born into slavery in 1818, he escaped as a young man and became a leading voice in the abolitionist movement. People everywhere still find inspiration today in his tireless struggle, brilliant words, and inclusive vision of humanity. Douglass's legacy is preserved here at Cedar Hill, where he lived his last 17 years.","Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Gifts/Souvenirs/Books
Frederick Law Olmsted National Historic Site,42.32424266,-71.13202567,National Historic Site,MA,"Frederick Law Olmsted (1822-1903) is recognized as the founder of American landscape architecture and the nation's foremost parkmaker. Olmsted moved his home to suburban Boston in 1883 and established the world's first full-scale professional office for the practice of landscape design. During the next century, his sons and successors perpetuated Olmsted's design ideals, philosophy, and influence.","Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store",Bicycle - Sharing Station
Fredericksburg & Spotsylvania National Military Park,38.29378,-77.46734,National Military Park,VA,"Fredericksburg, Chancellorsville, Wilderness, and Spotsylvania, this is America's battleground, where the Civil War roared to its bloody climax. No place more vividly reflects the War's tragic cost in all its forms. A town bombarded and looted. Farms large and small ruined. Refugees by the thousands forced into the countryside. More than 85,000 men wounded; 15,000 killed--most in graves unknown.","Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Sites
Freedom Riders National Monument,33.635269165,-85.9064331055,National Monument,AL,"In 1961, a small interracial band of “Freedom Riders” challenged discriminatory laws requiring separation of the races in interstate travel. They were attacked by white segregationists, who firebombed the bus. Images of the attack appeared in hundreds of newspapers, shocking the American public and spurring the Federal Government to issue regulations banning segregation in interstate travel.","Guided Tours, Self-Guided Tours - Auto, Junior Ranger Program, Museum Exhibits",Amphitheater
Friendship Hill National Historic Site,39.77543423,-79.92504169,National Historic Site,PA,"Albert Gallatin is best remembered for his thirteen year tenure as Secretary of the Treasury during the Jefferson and Madison administrations. In that time he reduced the national debt, purchased the Louisiana Territory and funded the Lewis & Clark exploration. Gallatin's accomplishments and contributions are highlighted at Friendship Hill, his restored country estate.","Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits",Accessible Rooms
Gates Of The Arctic National Park & Preserve,67.75961636,-153.2917758,National Park & Preserve,AK,"This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for over ten thousand years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. Virtually unchanged, except by the forces of nature.","Camping, Backcountry Camping, Canoe or Kayak Camping, Climbing, Rock Climbing, Mountain Climbing, Hiking, Backcountry Hiking, Off-Trail Permitted Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Whitewater Rafting, Junior Ranger Program",Historical/Interpretive Information/Exhibits
Gateway Arch National Park,38.6258069,-90.1892508,National Park,MO,"Gateway Arch National Park commemorates President Jefferson’s vision of a continental nation, the individuals and cultural groups who helped shape its history, St. Louis’ role in westward expansion, and Dred and Harriet Scott, who sued for their freedom in the Old Courthouse.","Astronomy, Stargazing, Biking, Road Biking, Food, Dining, Picnicking, Guided Tours, Boat Tour, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Rooms
Gateway National Recreation Area,40.56536246,-73.9171087,National Recreation Area,"NY,NJ","Spanning 27,000 acres from Sandy Hook in New Jersey to Breezy Point in New York City, the park is both the gateway from the ocean into New York Harbor, and the gateway to the National Park Service for millions of visitors every year. Gateway offers green spaces and beaches alongside historic structures and cultural landscapes. Every day, Gateway is open for you to explore, envision, and enjoy!","Biking, Boating, Camping, Fishing, Guided Tours, Paddling, Kayaking, Swimming, Saltwater Swimming",ATM/Cash Machine
Gauley River National Recreation Area,38.20614947,-81.00420836,National Recreation Area,WV,"The 25 miles of free-flowing Gauley River and the six miles of the Meadow River pass through scenic gorges and valleys containing a wide variety of natural and cultural features. The Gauley River contains several class V+ rapids, making it one of the most adventurous white water boating rivers in the east.","Boating, Camping, Car or Front Country Camping, RV Camping, Fishing, Freshwater Fishing, Paddling, Kayaking, Whitewater Rafting, Junior Ranger Program",
General Grant National Memorial,40.81332817,-73.96331542,National Memorial,NY,"The final resting place of President Ulysses S. Grant and his wife, Julia, is the largest mausoleum in North America. It testifies to a people’s gratitude for the man who ended the bloodiest conflict in American history as Commanding General of the Union Army and then, as President of the United States, strove to heal a nation after a civil war and make rights for all citizens a reality.","Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",
George Rogers Clark National Historical Park,38.67912659,-87.53545212,National Historical Park,IN,"The British flag would not be raised above Fort Sackville Feb. 25, 1779. At 10 A.M., the garrison surrendered to American Colonel George Rogers Clark. His American army, aided by French residents of the Illinois country, had marched through freezing floodwaters to gain this victory. The fort’s capture assured United States claims to the frontier, an area nearly as large as the original 13 states.","Astronomy, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Arts and Crafts, Living History, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Audio Description
George Washington Birthplace National Monument,38.19362603,-76.92079458,National Monument,VA,George Washington Birthplace National Monument is located in the Northern Neck of Virginia. It encompasses 551 acres of land where seven generations of the Washington family lived and where George Washington was born in 1732. The park was also central to one of the earliest efforts to memorialize George Washington during the celebration of his bicentennial birth anniversary in 1932.,"Arts and Culture, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Paddling, Canoeing, Kayaking, Junior Ranger Program, Wildlife Watching, Shopping, Bookstore and Park Store",Baby Changing Station
George Washington Carver National Monument,36.9871322,-94.35522737,National Monument,MO,"The young child known as the ""Plant Doctor"" tended his secret garden while observing the day-to-day operations of a 19th century farm. Nature and nurture ultimately influenced George on his quest for education to becoming a renowned agricultural scientist, educator, and humanitarian.","Arts and Culture, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Junior Ranger Program, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Rooms
George Washington Memorial Parkway,38.9628,-77.1495,Memorial Parkway,"DC,MD,VA","The George Washington Memorial Parkway was designed for recreational driving. It links sites that commemorate important episodes in American history and preserve habitat for local wildlife. The parkway and its associated trails provide a scenic place to play and rest in the busy Washington, DC metropolitan area.","Arts and Culture, Live Music, Biking, Road Biking, Food, Picnicking, Wildlife Watching, Birdwatching",Audio Description
Gettysburg National Military Park,39.81557366,-77.23246758,National Military Park,PA,"The Battle of Gettysburg was a turning point in the Civil War, the Union victory that ended General Robert E. Lee's second and most ambitious invasion of the North. Often referred to as the ""High Water Mark of the Rebellion"", Gettysburg was the Civil War's bloodiest battle and was also the inspiration for President Abraham Lincoln's immortal ""Gettysburg Address"".","Auto and ATV, Scenic Driving, Biking, Food, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Hiking, Horse Trekking, Horseback Riding, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Electric Car Charging Station
Gila Cliff Dwellings National Monument,33.22715258,-108.2706711,National Monument,NM,"For thousands of years, groups of nomads used the caves above Cliff Dweller Creek as temporary shelter. In the late 1200s, people of the agricultural Mogollon (Southern Ancestral Pueblo) culture made it a home. They built rooms, crafted pottery and raised children in the cliff dwellings for one or two generations. By approximately 1300, the Mogollon had moved on, leaving the walls behind.","Astronomy, Stargazing, Camping, Car or Front Country Camping, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Benches/Seating
Glacier Bay National Park & Preserve,58.80086718,-136.8407579,National Park & Preserve,AK,"Covering 3.3 million acres of rugged mountains, dynamic glaciers, temperate rainforest, wild coastlines and deep sheltered fjords, Glacier Bay National Park and Preserve is known as Homeland to the Huna and Yakutat Łingít, and is a highlight of Alaska's Inside Passage. From sea to summit, Glacier Bay offers limitless opportunities for adventure and inspiration.","Arts and Culture, Cultural Demonstrations, Auto and ATV, ATV Off-Roading, Boating, Motorized Boating, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Climbing, Mountain Climbing, Fishing, Food, Flying, Guided Tours, Boat Tour, Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Paddling, Kayaking, Whitewater Rafting, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store",Animal-Safe Food Storage
